Oracion original,label original,Puntaje Positivo,Puntaje Negativo,El resultado de la inferencia,Tiempo de fuzzificacion,Tiempo de desfuzzificacion,tiempo de ejecucion
i loooooooovvvvvveee my kindle not that the dx is cool but the is fantastic in its own right,Neutral,0.382,0.0,0.4743067053518121,0.0,0.00200605,0.00200605
reading my kindle love it lee childs is good read,Positiva,0.47,0.0,0.6121258407190895,0.0,0.00100613,0.00100613
ok first assesment of the kindle it fucking rocks,Neutral,0.216,0.0,0.27136998028182546,0.0,0.00199914,0.00199914
you ll love your kindle i ve had mine for a few months and never looked back the new big one is huge no need for remorse,Neutral,0.204,0.135,0.25800628839549145,0.0,0.04310584,0.04310584
fair enough but i have the kindle and i think it s perfect,Positiva,0.456,0.0,0.5891372965322006,0.0,0.0009501,0.0009501
no it is too big i m quite happy with the kindle,Neutral,0.281,0.155,0.3443877189927482,0.00099945,0.0009985,0.00199795
fuck this economy i hate aig and their non loan given asses,Neutral,0.0,0.444,1.9325203674725225e-16,0.0,0.0010016,0.0010016
jquery is my new best friend,Positiva,0.649,0.0,0.6438613251155623,0.00099826,0.00099802,0.00199628
loves twitter,Positiva,0.787,0.0,0.6242459093034124,0.0,0.0010016,0.0010016
how can you not love obama he makes jokes about himself,Neutral,0.139,0.234,0.20656593878434681,0.0,0.00199842,0.00199842
i firmly believe that obama pelosi have zero desire to be civil it s a charade and a slogan but they want to destroy conservatism,Neutral,0.127,0.182,0.1785200131755035,0.0,0.00100088,0.00100088
house correspondents dinner was last night whoopi barbara amp sherri went obama got a standing ovation,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.00151968,0.00151968
watchin espn jus seen this new nike commerical with a puppet lebron sh t was hilarious lmao,Neutral,0.337,0.0,0.4129619064973852,0.0,0.00100207,0.00100207
dear nike stop with the flywire that shit is a waste of science and ugly love,Neutral,0.245,0.43,0.12477160010441128,0.0,0.00100279,0.00100279
lebron best athlete of our generation if not all time basketball related i don t want to get into inter sport debates about __,Neutral,0.224,0.0,0.28025658977924817,0.0,0.00199604,0.00199604
i was talking to this guy last night and he was telling me that he is a die hard spurs fan he also told me that he hates lebron james,Neutral,0.067,0.238,0.11593239678085414,0.0,0.0011003,0.0011003
i love lebron,Positiva,0.808,0.0,0.6311522157996144,0.0,0.00200295,0.00200295
lebron is a beast but i m still cheering the a til the end,Neutral,0.331,0.0,0.405181114357783,0.0,0.0,0.0
lebron is the boss,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.0,0.0
lebron is a hometown hero to me lol i love the lakers but let s go cavs lol,Positiva,0.488,0.0,0.6438761025128971,0.0,0.00100946,0.00100946
lebron and zydrunas are such an awesome duo,Neutral,0.369,0.0,0.4559005539684265,0.0,0.00110126,0.00110126
lebron is a beast nobody in the nba comes even close,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.0,0.0
downloading apps for my iphone so much fun there literally is an app for just about anything,Neutral,0.183,0.0,0.2340678430697187,0.0,0.00101185,0.00101185
good news just had a call from the visa office saying everything is fine what a relief i am sick of scams out there stealing,Neutral,0.225,0.312,0.2735563492312864,0.0,0.00172472,0.00172472
awesome come back from via,Positiva,0.506,0.0,0.6666192358366267,0.00096083,0.0009923,0.00195312
in montreal for a long weekend of r amp r much needed,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.0,0.0
booz allen hamilton has a bad ass homegrown social collaboration platform way cool ttiv,Positiva,0.422,0.0,0.5338968038505467,0.0,0.00099993,0.00099993
mluc customer innovation award winner booz allen hamilton,Positiva,0.664,0.0,0.6396626506024095,0.0,0.00100803,0.00100803
i current use the nikon d and love it but not as much as the canon d d i chose the d for the video feature my mistake,Neutral,0.101,0.121,0.13838632711244886,0.0,0.00160217,0.00160217
google is always a good place to look should ve mentioned i worked on the mustang w my dad,Neutral,0.162,0.0,0.2097189172886977,0.0,0.00254989,0.00254989
played with an android google phone the slide out screen scares me i would break that fucker so fast still prefer my iphone,Neutral,0.085,0.238,0.14101410765800643,0.0,0.00306106,0.00306106
us planning to resume the military tribunals at guantanamo bay only this time those on trial will be aig execs and chrysler debt holders,Neutral,0.0,0.098,4.0241828417960333e-17,0.0,0.0009973,0.0009973
omg so bored amp my tattoooos are so itchy help aha,Neutral,0.185,0.319,0.2913985983372227,0.0,0.00100207,0.00100207
i m itchy and miserable,Negativa,0.0,0.841,-0.6410915528578655,0.0,0.00161052,0.00161052
no i m not itchy for now maybe later lol,Neutral,0.391,0.186,0.38368874933048736,0.0,0.00201082,0.00201082
rt i love the nerdy stanford human biology videos makes me miss school,Neutral,0.263,0.175,0.3238263342317519,0.0,0.00100541,0.00100541
has been a bit crazy with steep learning curve but lyx is really good for long docs for anything shorter it would be insane,Neutral,0.145,0.178,0.19684410453697135,0.0,0.00199604,0.00199604
i m listening to p y t by danny gokey lt lt lt aww he s so amazing i lt him so much,Neutral,0.245,0.0,0.30361521620142284,0.0,0.00099921,0.00099921
is going to sleep then on a bike ride,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.0,0.0
cant sleep my tooth is aching,Neutral,0.0,0.39,1.0767452831820629e-16,0.0,0.00199866,0.00199866
blah blah blah same old same old no plans today going back to sleep i guess,Neutral,0.0,0.368,8.443281825481768e-17,0.0,0.0010972,0.0010972
glad i didnt do bay to breakers today it s freaking degrees in san francisco wtf,Neutral,0.146,0.32,0.2578877205079583,0.00099874,0.00060844,0.00160718
obama administration must stop bonuses to aig ponzi schemers,Neutral,0.281,0.172,0.3443877189927482,0.0,0.00188589,0.00188589
started to think that citi is in really deep s amp t are they gonna survive the turmoil or are they gonna be the next aig,Neutral,0.0,0.098,4.0241828417960333e-17,0.0,0.0,0.0
shaunwoo hate n on aig,Negativa,0.0,0.552,-0.5255246132208157,0.0,0.00100303,0.00100303
you will not regret going to see star trek it was awesome,Neutral,0.391,0.0,0.4875082095997312,0.0,0.00090289,0.00090289
annoying new trend on the internets people picking apart michael lewis and malcolm gladwell nobody wants to read that,Neutral,0.0,0.13,4.1501392468313995e-17,0.00109673,0.00099802,0.00209475
highly recommend by malcolm gladwell,Positiva,0.411,0.0,0.5172097134225866,0.0,0.00100231,0.00100231
blink by malcolm gladwell amazing book and the tipping point,Neutral,0.297,0.0,0.3631008887356235,0.0,0.00167155,0.00167155
malcolm gladwell might be my new man crush,Neutral,0.0,0.186,3.685749154327304e-17,0.0,0.00194716,0.00194716
omg the commercials alone on espn are going to drive me nuts,Neutral,0.0,0.301,4.43659581954641e-17,0.0,0.00100279,0.00100279
playing with twitter api sounds fun may need to take a class or find a new friend who like to generate results with api code,Neutral,0.362,0.0,0.44628115233135623,0.0,0.00199556,0.00199556
hello twitter api,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.0,0.0
because the twitter api is slow and most client s aren t good,Neutral,0.24,0.0,0.29804062126642755,0.0,0.00100064,0.00100064
yahoo answers can be a butt sometimes,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.0,0.0
is scrapbooking with nic d,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.0,0.0
rt five things wolfram alpha does better and vastly different than google,Neutral,0.209,0.0,0.26358191964330563,0.0,0.00199914,0.00199914
just changed my default pic to a nike basketball cause bball is awesome,Neutral,0.272,0.0,0.334052529897335,0.0,0.00100088,0.00100088
rt was just told that nike layoffs started today,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.0,0.0
back when i worked for nike we had one fav word just do it,Neutral,0.2,0.0,0.25353535353535334,0.0,0.00150347,0.00150347
by the way i m totally inspired by this freaky nike commercial,Neutral,0.25,0.179,0.30920398009950223,0.0,0.00101089,0.00101089
class the d is supposed to come today,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.0,0.0
needs someone to explain lambda calculus to him,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.0,0.0
took the graduate field exam for computer science today nothing makes you feel like more of an idiot than lambda calculus,Neutral,0.1,0.142,0.13984655497666476,0.0,0.00210285,0.00210285
shout outs to all east palo alto for being in the buildin karizmakaze cal gta also thanks to profits of doom universal hempz cracka,Neutral,0.197,0.092,0.2501226632486107,0.0,0.0010066,0.0010066
yeahhhhhhhhh i wouldn t really have lived in east palo alto if i could have avoided it i guess it s only for the summer,Neutral,0.0,0.112,3.3434619922794906e-17,0.0,0.00199437,0.00199437
great stanford course thanks for making it available to the public really helpful and informative for starting off,Positiva,0.402,0.0,0.5040116210320288,0.0,0.0010047,0.0010047
work til pm lets go lakers,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.0,0.0
damn you north korea,Neutral,0.0,0.474,4.387356840509899e-16,0.0,0.00100136,0.00100136
can we just go ahead and blow north korea off the map already,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.0,0.0
north korea please cease this douchebaggery china doesn t even like you anymore,Neutral,0.324,0.0,0.39620993160868245,0.00099754,0.00061488,0.00161242
why the hell is pelosi in freakin china and on whose dime,Neutral,0.0,0.295,7.000274925811197e-17,0.0,0.0020144,0.0020144
are you burning more cash than chrysler and gm stop the financial tsunami where bailout means taking a handout,Neutral,0.0,0.184,3.673130463203783e-17,0.0,0.0009973,0.0009973
insects have infected my spinach plant,Neutral,0.0,0.39,1.0767452831820629e-16,0.00100803,0.0,0.00100803
wish i could catch every mosquito in the world n burn em slowly they been bitin the shit outta me day mosquitos are the assholes of insects,Neutral,0.206,0.117,0.26023810329137553,0.0,0.00098658,0.00098658
just got back from church and i totally hate insects,Neutral,0.0,0.333,7.577643983834777e-17,0.0,0.00199962,0.00199962
just got mcdonalds goddam those eggs make me sick o yeah laker up date go lakers not much of an update well it s true so suck it,Neutral,0.189,0.28,0.27714907964599667,0.0,0.00100064,0.00100064
omgg i ohhdee want mcdonalds damn i wonder if its open lol,Neutral,0.297,0.196,0.3631008887356235,0.0,0.00162792,0.00162792
history exam studying ugh,Neutral,0.0,0.483,6.705409701992546e-16,0.0,0.00189328,0.00189328
i hate revision it s so boring i am totally unprepared for my exam tomorrow things are not looking good,Neutral,0.0,0.394,8.8355620039059e-17,0.0,0.00099802,0.00099802
higher physics exam tommorow not lookin forward to it much,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.0,0.0
it s a bank holiday yet i m only out of work now exam season sucks,Neutral,0.178,0.164,0.22827097577158745,0.0,0.00199509,0.00199509
cheney and bush are the real culprits,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.0,0.0
life s a bitch and so is dick cheney p bipart tlot tcot hhrs gop dnc,Neutral,0.0,0.401,1.3276358400133412e-16,0.0,0.00100493,0.00100493
dick cheney s dishonest speech about torture terror and obama fred kaplan slate,Negativa,0.0,0.641,-0.5666426076833525,0.0,0.00199699,0.00199699
the republican party is a bunch of anti abortion zealots who couldn t draw flies to a dump neal boortz just now on the radio,Neutral,0.099,0.245,0.16133783369131616,0.0,0.00100183,0.00100183
is twitter s connections api broken some tweets didn t make it to twitter,Neutral,0.0,0.22,6.089315376155358e-17,0.0,0.00150156,0.00150156
i srsly hate the stupid twitter api timeout thing soooo annoying,Negativa,0.0,0.583,-0.5402479098509632,0.00101042,0.00201488,0.00302529
i really liked learning jquery book is worth a look too,Positiva,0.416,0.0,0.5247149592640774,0.0,0.00109839,0.00109839
very interesting ad from adobe by goodby silverstein amp partners youtube adobe cs le sens propre,Neutral,0.166,0.0,0.21422687145565528,0.0,0.00091147,0.00091147
goodby silverstein agency new site great,Positiva,0.451,0.0,0.5812411914948618,0.0,0.00100803,0.00100803
rt goodby silverstein s new site i enjoy it nice find,Positiva,0.462,0.0,0.5988242500018602,0.0,0.0010016,0.0010016
the ever amazing psyop and goodby silverstein amp partners for hp have to go play with after effects now,Neutral,0.267,0.0,0.3283592526807445,0.0,0.00162649,0.00162649
top ten most watched on viral video chart love the nike mostvaluablepuppets campaign from wieden amp kennedy,Neutral,0.286,0.0,0.35018480100759686,0.0,0.00194693,0.00194693
zomg i have a g,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.0,0.0
ok so lots of buzz from io but how lucky are they a free g,Positiva,0.494,0.0,0.6550933663973629,0.0,0.00104403,0.00104403
just got a free g android at google i o,Neutral,0.398,0.0,0.4980644104532926,0.0,0.00189996,0.00189996
guess i ll be retiring my g and start using my developer g woot googleio,Neutral,0.203,0.0,0.25688951203231447,0.0,0.00109982,0.00109982
i am happy for philip being at googleio today,Neutral,0.346,0.0,0.4248323678639329,0.0,0.00099754,0.00099754
lakers played great cannot wait for thursday night lakers vs,Positiva,0.448,0.0,0.5762296440807924,0.0,0.0010016,0.0010016
judd apatow creates fake sitcom on nbc com to market his new movie viral marketing at its best,Neutral,0.258,0.127,0.3181842375594253,0.0,0.0010078,0.0010078
viral marketing fail this acia pills brand oughta get shut down for hacking into people s messenger s i get msgs in a day arrrgh,Neutral,0.0,0.149,5.769745054331935e-17,0.0,0.00162435,0.00162435
watching night at the museum lmao,Positiva,0.438,0.0,0.5594173302710939,0.0,0.00100517,0.00100517
i loved night at the museum,Positiva,0.494,0.0,0.6550933663973629,0.0,0.0,0.0
just got back from the movies went to see the new night at the museum with rachel it was good,Neutral,0.132,0.0,0.17465691234077863,0.0,0.00250244,0.00250244
i will take you on a date to see night at the museum whenever you want it looks soooooo good,Neutral,0.208,0.0,0.26246779617383437,0.0,0.00100923,0.00100923
no watching the night at the museum getting really good,Neutral,0.238,0.164,0.29581396942246835,0.0,0.0010016,0.0010016
night at the museum wolverine and junk food perfect monday,Neutral,0.291,0.0,0.3560264083126781,0.0,0.00199819,0.00199819
saw night at the museum last night pretty crazy movie but the cast was awesome so it was well worth it robin williams forever,Neutral,0.388,0.05,0.48306304577636794,0.0,0.00100112,0.00100112
night at the museum tonite instead of up oh well that yr old better enjoy it lol,Positiva,0.458,0.0,0.5923399567640582,0.0,0.00152135,0.00152135
it s unfortunate that after the stimulus plan was put in place twice to help gm on the back of the american people has led to the inevitable,Neutral,0.088,0.098,0.12137748906956222,0.0,0.00200987,0.00200987
tell me again why we are giving more to gm we should use that for all the programs that support the unemployed,Neutral,0.203,0.0,0.25688951203231447,0.0,0.0,0.0
oh yes but if gm dies it will only be worth more boo hahaha,Positiva,0.464,0.0,0.6021070824124403,0.0,0.00204468,0.00204468
time warner cable is down again rd time since memorial day bummer,Neutral,0.0,0.191,3.718287884631899e-17,0.0,0.00103807,0.00103807
i would rather pay reasonable yearly taxes for free fast internet than get gouged by time warner for a slow connection,Neutral,0.152,0.065,0.1983315842395665,0.0,0.00100708,0.00100708
nooooooo my dvr just died and i was only half way through the ea presser hate you time warner,Neutral,0.0,0.313,4.6516101126735875e-17,0.0,0.00099921,0.00099921
f ck time warner cable you f cking suck balls i have a hd tv amp my damn hd channels hardly ever come in bullshit,Neutral,0.0,0.343,6.653982853454519e-17,0.0,0.0016005,0.0016005
time warner has the worse customer service ever i will never use them again,Neutral,0.0,0.205,2.983304547378473e-17,0.0,0.00099826,0.00099826
time warner is the devil worst possible time for the internet to go out,Neutral,0.0,0.415,1.0207973138395606e-16,0.0,0.00110173,0.00110173
fuck no internet damn time warner,Negativa,0.0,0.737,-0.6062306684141546,0.0,0.00191879,0.00191879
time warner really picks the worst time to not work all i want to do is get to mtv com so i can watch the hills wtfffff,Neutral,0.0,0.195,5.382096030353014e-17,0.0,0.00107217,0.00107217
i hate time warner soooo wish i had vios cant watch the fricken mets game w o buffering i feel like im watching free internet porn,Neutral,0.291,0.127,0.3560264083126781,0.0,0.00200129,0.00200129
ahh got rid of stupid time warner today amp now taking a nap while the roomies cook for me pretty good end for a monday,Neutral,0.207,0.115,0.2613532004032572,0.0,0.0,0.0
time warner s hd line up is crap,Neutral,0.0,0.302,3.90723168871406e-17,0.0,0.00261784,0.00261784
is being fucked by time warner cable didnt know modems could explode and susan boyle sucks too,Neutral,0.0,0.315,4.690359390083755e-17,0.0,0.00109768,0.00109768
time warner cable slogan where calling it a day at pm happens,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.0,0.0
recovering from surgery wishing was here,Neutral,0.275,0.0,0.3374843945068661,0.0,0.00197673,0.00197673
my wrist still hurts i have to get it looked at i hate the dr dentist scary places time to watch eagle eye if you want to join txt,Neutral,0.099,0.282,0.17532432889039043,0.0,0.00196052,0.00196052
the dentist lied u won t feel any discomort prob won t even need pain pills man u twippin this shit hurt how many pills can i take,Neutral,0.195,0.357,0.24454284681754515,0.0,0.00101304,0.00101304
my dentist is great but she s expensive,Neutral,0.298,0.0,0.3642872870206701,0.0,0.00104594,0.00104594
is studing math tomorrow exam and dentist,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.0,0.0
my dentist was wrong wrong,Negativa,0.0,0.674,-0.5808910411622276,0.0,0.00166726,0.00166726
going to the dentist later,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.0,0.0
son has me looking at cars online i hate car shopping would rather go to the dentist anyone with a good car at a good price to sell,Neutral,0.184,0.117,0.23522279572006724,0.0,0.00296545,0.00296545
luke and i got stopped walking out of safeway and asked to empty our pockets and lift our shirts how jacked up is that,Neutral,0.0,0.15,3.489780706983378e-17,0.0,0.00198984,0.00198984
safeway is very rock n roll tonight,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.0,0.0
the safeway bathroom still smells like ass,Neutral,0.227,0.318,0.26693439925865015,0.0,0.00199819,0.00199819
at safeway on elkhorn they move like they re dead,Neutral,0.169,0.291,0.26398075506166835,0.0,0.00099969,0.00099969
i love dwight howard s vitamin water commercial now i wish he was with nike and not adidas lol,Neutral,0.388,0.1,0.48306304577636794,0.0,0.00100017,0.00100017
found nothing at nike factory off to banana republic outlet,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.0,0.0
is lovin his nike already and that s only from running on the spot in his bedroom,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.0,0.0
i finally got around to using jquery to make my bio collapse yay for slide animations,Neutral,0.173,0.163,0.22243402156258257,0.0,0.00150466,0.00150466
right lol we ll get there i have high expectations warren buffet style,Neutral,0.203,0.0,0.25688951203231447,0.0,0.0,0.0
rt rt great someone s sitting in the shade today because someone planted a tree a long time ago warren buffet,Neutral,0.194,0.0,0.246701288156511,0.00100994,0.00101304,0.00202298
warren buffet became for a time the richest man in the united states not by working but investing in big idea which lead to the fortune,Neutral,0.151,0.0,0.19718266317367464,0.0,0.00107646,0.00107646
according to the create a school notre dame will have receivers in ncaa at or higher rating sweet,Neutral,0.254,0.0,0.3136875482633164,0.0,0.00193095,0.00193095
it s definitely under warranty amp my experience is the amazon support for kindle is great had to contact them about my kindle,Neutral,0.384,0.0,0.47720613883955765,0.0,0.00108314,0.00108314
time warner road runner customer support here absolutely blows i hate not having other high speed net options i m ready to go nuclear,Neutral,0.191,0.146,0.2432703660288735,0.0,0.00100255,0.00100255
time warner cable phone reps r dumber than nails ugh cable was working mins ago now its not wtf,Neutral,0.131,0.227,0.19523964413062822,0.0,0.0,0.0
we tried but time warner wasn t being nice so we recorded today,Neutral,0.252,0.0,0.31144423747432753,0.0,0.00262141,0.00262141
omg time warner f ed up my internet install instead of today its now next saturday another week w o internet amp ehfa v fhg fml,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.0,0.0
wth i have never seen a line this loooong at time warner before ugh,Neutral,0.0,0.383,8.524370925047273e-17,0.0,0.00210619,0.00210619
impatiently awaiting the arrival of the time warner guy it s way too pretty to be inside all afternoon,Neutral,0.146,0.123,0.19132566287395594,0.0,0.00099754,0.00099754
naive bayes using em for text classification really frustrating,Neutral,0.0,0.431,1.4384242773657418e-16,0.0,0.00199223,0.00199223
we went to stanford university today got a tour made me want to go back to college it s also decided all of our kids will go there,Neutral,0.049,0.0,0.07109234902816362,0.0,0.00100946,0.00100946
if you re being harassed by calls about your car warranty changing your number won t fix that they call every number d bags,Neutral,0.227,0.126,0.2835880023077858,0.0,0.00099134,0.00099134
just blocked united blood services using google voice they call more than those car warranty guys,Neutral,0.148,0.111,0.19368154011929284,0.0,0.00166392,0.00166392
at amp t is complete fail,Neutral,0.0,0.467,3.116488084825098e-16,0.0,0.00098109,0.00098109
oh snap you work at at amp t don t you,Neutral,0.0,0.0,2.4818110529641523e-17,0.00108361,0.0,0.00108361
i really dont want at amp t phone service they suck when it comes to having a signal,Neutral,0.0,0.253,3.802275040404526e-17,0.0,0.0009954,0.0009954
i say we just cut out the small talk at amp t s new slogan f__k you give us your money apologies to bob geldof,Neutral,0.0,0.091,4.0021572918818933e-17,0.0,0.00100636,0.00100636
pissed about at amp t s mid contract upgrade price for the iphone it s more i m not going to pay for something i thought was,Neutral,0.053,0.171,0.08447741644625298,0.0,0.00199223,0.00199223
safari is fast even on my shitty at amp t tethering,Neutral,0.0,0.286,5.2356738522125445e-17,0.0,0.00099826,0.00099826
what is at amp t fucking up,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.0,0.0
at amp t dropped the ball and isn t supporting crap with the new iphone fail att sucks,Neutral,0.123,0.366,0.2680125354279697,0.0,0.00099611,0.00099611
yay glad you got the phone still damn you at amp t,Neutral,0.374,0.158,0.41951783093615286,0.0,0.00099993,0.00099993
talk is cheap bing that i ll stick with google,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.0,0.0
wtf is the point of deleting tweets if they can still be found in summize and searches twitter please fix that thanks and bye,Neutral,0.173,0.127,0.22243402156258257,0.0,0.00162315,0.00162315
i love google translator too d good day mate,Positiva,0.587,0.0,0.6580704145371946,0.0,0.00099635,0.00099635
reading on my new kindle,Neutral,0.0,0.0,2.4818110529641523e-17,0.0,0.0,0.0
my kindle came and i love it,Positiva,0.457,0.0,0.5907353972505304,0.0,0.00204015,0.00204015
loving my new kindle named her kendra in case u were wondering the cookbook is the tool cuz it tells u all the tricks best gift evr,Neutral,0.328,0.045,0.40131421887055396,0.0,0.00195956,0.00195956
the real aig scandal,Neutral,0.0,0.492,1.4597884215435552e-15,0.0,0.00164008,0.00164008
obama is quite a good comedian check out his dinner speech on cnn very funny jokes,Positiva,0.512,0.0,0.6664791666666663,0.0,0.00187778,0.00187778
